WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
DEBUG__main__:HYPERPARAMS
n_neurons_hl1 = 32
n_neurons_hl2 = 32
discount = 0.99
learning_rate = 1e-05
DEBUG__main__:EP	reward	info
DEBUG__main__:278	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:279	-75.5	Max steps 100 reached per episodes.
DEBUG__main__:280	-74.0	Max steps 100 reached per episodes.
DEBUG__main__:281	-71.5	Max steps 100 reached per episodes.
DEBUG__main__:282	-75.5	Max steps 100 reached per episodes.
DEBUG__main__:283	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:284	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:285	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:286	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:287	-73.0	Max steps 100 reached per episodes.
DEBUG__main__:288	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:289	-72.0	Max steps 100 reached per episodes.
DEBUG__main__:290	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:291	-77.5	Max steps 100 reached per episodes.
DEBUG__main__:292	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:293	-77.0	Max steps 100 reached per episodes.
DEBUG__main__:294	-73.0	Max steps 100 reached per episodes.
DEBUG__main__:295	-71.5	Max steps 100 reached per episodes.
DEBUG__main__:296	-77.5	Max steps 100 reached per episodes.
DEBUG__main__:297	-77.5	Max steps 100 reached per episodes.
DEBUG__main__:298	-76.0	Max steps 100 reached per episodes.
